Date,UK_10Y,UK_30Y,UK_5Y,US_10Y,US_30Y,US_5Y
2010-01-04,1.47,,0.52,2.38,,2.13
2010-01-05,1.43,,0.44,2.34,,2.12
2010-01-06,1.48,,0.44,2.37,,2.16
2010-01-07,1.44,,0.43,2.41,,2.19
2010-01-08,1.41,,0.39,2.42,,2.18
2010-01-11,1.47,,0.46,2.38,,2.12
2010-01-12,1.35,,0.34,2.39,,2.15
2010-01-13,1.43,,0.42,2.37,,2.13
2010-01-14,1.4,,0.39,2.36,,2.12
2010-01-15,1.34,,0.34,2.36,,2.1
2010-01-19,1.35,,0.39,2.38,,2.09
2010-01-20,1.31,,0.36,2.37,,2.09
2010-01-21,1.29,,0.4,2.33,,1.98
2010-01-22,1.31,,0.42,2.31,,1.95
2010-01-25,1.33,,0.42,2.33,,1.97
2010-01-26,1.31,,0.41,2.34,,1.97
2010-01-27,1.35,,0.47,2.31,,1.96
2010-01-28,1.35,,0.47,2.33,,1.94
2010-01-29,1.3,,0.43,2.33,,1.91
2010-02-01,1.29,,0.39,2.39,2.46,1.99
2010-02-02,1.26,,0.35,2.41,2.46,2.02
2010-02-03,1.3,,0.35,2.43,2.46,2.05
2010-02-04,1.27,,0.3,2.35,2.46,1.99
2010-02-05,1.32,,0.34,2.27,2.46,1.89
2010-02-08,1.35,,0.35,2.27,2.46,1.91
2010-02-09,1.37,,0.38,2.3,2.46,1.94
2010-02-10,1.44,,0.42,2.28,2.46,1.97
2010-02-11,1.47,,0.43,2.26,2.46,1.96
2010-02-12,1.46,,0.39,2.23,2.46,1.96
2010-02-16,1.42,,0.37,2.24,2.46,1.95
2010-02-17,1.46,,0.39,2.28,2.46,2.01
2010-02-18,1.48,,0.44,2.31,2.46,2.02
2010-02-19,1.52,,0.51,2.26,2.46,1.97
2010-02-22,1.55,2.22,0.55,2.25,2.46,1.92
2010-02-23,1.5,2.14,0.47,2.19,2.46,1.9
2010-02-24,1.51,2.16,0.5,2.19,2.46,1.9
2010-02-25,1.51,2.16,0.5,2.13,2.46,1.83
2010-02-26,1.48,2.13,0.47,2.13,2.46,1.83
2010-03-01,1.46,2.14,0.45,2.15,2.49,1.83
2010-03-02,1.46,2.14,0.44,2.16,2.49,1.83
2010-03-03,1.46,2.15,0.43,2.17,2.49,1.84
2010-03-04,1.44,2.12,0.44,2.17,2.49,1.84
2010-03-05,1.48,2.15,0.46,2.21,2.49,1.89
2010-03-08,1.49,2.17,0.49,2.23,2.49,1.87
2010-03-09,1.48,2.19,0.46,2.23,2.49,1.88
2010-03-10,1.49,2.18,0.48,2.24,2.49,1.91
2010-03-11,1.49,2.16,0.54,2.24,2.49,1.89
2010-03-12,1.45,2.13,0.49,2.26,2.49,1.93
2010-03-15,1.46,2.13,0.49,2.25,2.49,1.93
2010-03-16,1.42,2.11,0.45,2.24,2.49,1.92
2010-03-17,1.4,2.07,0.42,2.25,2.49,1.96
2010-03-18,1.45,2.09,0.52,2.23,2.49,1.92
2010-03-19,1.5,2.1,0.62,2.2,2.49,1.86
2010-03-22,1.48,2.09,0.61,2.19,2.49,1.82
2010-03-23,1.49,2.11,0.64,2.2,2.49,1.8
2010-03-24,1.6,2.21,0.73,2.24,2.49,1.89
2010-03-25,1.65,2.23,0.78,2.26,2.49,1.87
2010-03-26,1.62,2.2,0.73,2.24,2.49,1.86
2010-03-29,1.66,2.22,0.75,2.22,2.49,1.85
2010-03-30,1.66,2.22,0.77,2.22,2.49,1.83
2010-03-31,1.6,2.16,0.72,2.24,2.49,1.83
2010-04-01,1.61,2.16,0.74,2.28,2.64,1.85
2010-04-02,1.69,2.22,0.81,2.27,2.64,1.86
2010-04-05,1.7,2.26,0.83,2.31,2.64,1.92
2010-04-06,1.68,2.2,0.68,2.3,2.64,2.03
2010-04-07,1.55,2.09,0.58,2.34,2.64,2.04
2010-04-08,1.58,2.11,0.69,2.33,2.64,1.95
2010-04-09,1.56,2.1,0.68,2.34,2.64,1.97
2010-04-12,1.52,2.06,0.65,2.35,2.64,1.95
2010-04-13,1.5,2.05,0.65,2.34,2.64,1.93
2010-04-14,1.54,2.08,0.66,2.34,2.64,1.95
2010-04-15,1.49,2.04,0.61,2.37,2.64,1.96
2010-04-16,1.46,2.02,0.59,2.33,2.64,1.9
2010-04-19,1.49,2.05,0.63,2.34,2.64,1.91
2010-04-20,1.47,2.03,0.6,2.35,2.64,1.96
2010-04-21,1.42,1.98,0.57,2.35,2.64,1.95
2010-04-22,1.46,2.01,0.62,2.34,2.64,1.95
2010-04-23,1.47,2.01,0.62,2.37,2.64,1.99
2010-04-26,1.46,2.0,0.6,2.37,2.64,2.0
2010-04-27,1.37,1.93,0.46,2.34,2.64,2.0
2010-04-28,1.4,1.97,0.53,2.4,2.64,2.0
2010-04-29,1.31,1.88,0.43,2.45,2.64,2.06
