region,horizon,ticker,exchange,duration_yrs,ytm_pct,maxdd_pct,dd_start,dd_end,ytd_pct,a_or_above_pct,bbb_pct,order
EUR,Medium Term,EUNT,XETRA,2.72332,2.77,-10.159881582022622,2021-08-05,2024-09-27,3.195327492064459,48,52,1
EUR,Medium Term,EUN5,XETRA,4.4707,3.08,-17.30608505381348,2021-08-05,Ongoing,3.0873959162724507,49,51,2
GBP,Short Term,ERNS,LSE,0.29508,4.31,-1.5058929992569858,2020-03-05,2020-05-22,4.037644170731869,75,25,3
GBP,Medium Term,IS15,LSE,2.2358,4.71,-12.18438157818349,2021-09-08,2024-03-12,5.48193427766932,54,46,4
GBP,Medium/Long,SLXX,LSE,5.7178,5.25,-30.27480527714601,2021-01-04,Ongoing,5.933436251672997,50,50,5
USD,Short Term,ICSH,US,0.55546,4.2,-3.936639298987976,2020-03-09,2020-05-13,4.176965921824549,93,8,7
USD,Short Term,FLOT,US,0.01332,4.67,-13.536501287667535,2020-02-21,2020-08-05,4.017693647023202,95,5,6
USD,Medium Term,IGSB,US,2.64847,4.28,-13.376163538240382,2020-03-05,2020-05-28,5.960344626941749,56,44,8
USD,Medium/Long,IGIB,US,6.01047,4.81,-20.774025365733795,2021-08-03,2025-06-26,8.5658495650911,51,49,9
USD,Medium/Long,USIG,US,6.49035,4.86,-22.210289954115005,2008-02-05,2009-06-03,7.31503609556019,54,46,10
USD,Long Term,LQD,US,8.09436,4.95,-24.954853078277683,2021-09-22,Ongoing,7.543702989711054,58,42,11
USD,Very Long Term,IGLB,US,12.16841,5.54,-34.12224616435291,2021-09-22,Ongoing,7.91731619837015,57,43,12
