year,code,ret
2016,EFA,4.1
2016,IWM,3.5
2016,ACWI,2.9
2016,SPY,2.7
2016,DJP,2.5
2016,IBCI,2.0
2016,EEM,1.0
2016,EUN5,0.8
2016,XGVD,0.0
2016,EURIBOR3M,-0.0
2016,IAU,-1.5
2017,EEM,20.7
2017,EFA,9.5
2017,ACWI,9.2
2017,SPY,6.7
2017,EUN5,2.1
2017,IBCI,1.2
2017,IWM,0.4
2017,XGVD,0.3
2017,EURIBOR3M,-0.3
2017,IAU,-0.5
2017,DJP,-10.9
2018,IAU,3.1
2018,SPY,0.1
2018,XGVD,-0.2
2018,EURIBOR3M,-0.3
2018,EUN5,-1.5
2018,IBCI,-1.7
2018,ACWI,-4.7
2018,IWM,-6.8
2018,DJP,-7.1
2018,EFA,-9.7
2018,EEM,-10.3
2019,SPY,34.5
2019,ACWI,30.1
2019,IWM,28.4
2019,EFA,24.8
2019,EEM,21.5
2019,IAU,21.0
2019,DJP,10.1
2019,IBCI,6.3
2019,EUN5,6.3
2019,XGVD,4.5
2019,EURIBOR3M,-0.4
2020,IAU,14.8
2020,IWM,10.1
2020,EEM,9.0
2020,SPY,8.7
2020,ACWI,7.2
2020,XGVD,4.8
2020,IBCI,2.9
2020,EUN5,2.6
2020,EURIBOR3M,-0.4
2020,EFA,-1.0
2020,DJP,-11.6
2021,DJP,44.0
2021,SPY,39.0
2021,ACWI,28.2
2021,IWM,24.0
2021,EFA,19.6
2021,IBCI,6.1
2021,EEM,4.1
2021,IAU,4.0
2021,EURIBOR3M,-0.5
2021,EUN5,-1.1
2021,XGVD,-3.2
2022,DJP,24.8
2022,IAU,5.6
2022,EURIBOR3M,0.4
2022,EFA,-9.1
2022,IBCI,-9.7
2022,SPY,-13.1
2022,ACWI,-13.3
2022,EUN5,-13.4
2022,XGVD,-15.1
2022,IWM,-15.5
2022,EEM,-15.6
2023,SPY,21.5
2023,ACWI,17.8
2023,EFA,14.0
2023,IWM,12.5
2023,IAU,8.7
2023,EUN5,7.5
2023,IBCI,5.9
2023,EEM,4.9
2023,XGVD,3.6
2023,EURIBOR3M,3.5
2023,DJP,-13.2
2024,IAU,34.9
2024,SPY,32.8
2024,ACWI,24.9
2024,IWM,18.5
2024,EEM,13.3
2024,DJP,12.3
2024,EFA,10.1
2024,EUN5,4.4
2024,EURIBOR3M,4.0
2024,IBCI,0.0
2024,XGVD,-0.4
2025,IAU,34.7
2025,EEM,20.2
2025,EFA,15.0
2025,ACWI,9.3
2025,SPY,5.7
2025,EUN5,3.4
2025,XGVD,2.4
2025,EURIBOR3M,1.9
2025,IBCI,1.6
2025,IWM,1.5
2025,DJP,0.1
TOTAL,SPY,230.6
TOTAL,IAU,204.2
TOTAL,ACWI,167.1
TOTAL,EFA,99.6
TOTAL,IWM,94.0
TOTAL,EEM,81.7
TOTAL,DJP,45.0
TOTAL,IBCI,14.4
TOTAL,EUN5,10.0
TOTAL,EURIBOR3M,8.1
TOTAL,XGVD,-4.8
