year,code,ret
2010,DJP,7.4
2010,EFA,4.9
2010,IWM,4.7
2010,ACWI,4.2
2010,EEM,4.1
2010,SPY,3.5
2010,IBCI,0.7
2010,EURIBOR3M,0.1
2010,XGVD,-0.4
2010,IAU,-0.5
2010,EUN5,-2.6
2011,IAU,13.7
2011,XGVD,6.2
2011,SPY,5.5
2011,EURIBOR3M,1.4
2011,IWM,-1.0
2011,IBCI,-1.1
2011,EUN5,-1.8
2011,ACWI,-3.9
2011,EFA,-9.3
2011,DJP,-10.5
2011,EEM,-15.6
2012,EEM,16.4
2012,EFA,15.3
2012,ACWI,14.7
2012,IWM,14.3
2012,SPY,13.9
2012,IBCI,10.7
2012,EUN5,9.7
2012,IAU,5.2
2012,XGVD,4.4
2012,EURIBOR3M,0.6
2012,DJP,-2.8
2013,IWM,33.3
2013,SPY,27.1
2013,ACWI,18.5
2013,EFA,17.9
2013,EURIBOR3M,0.2
2013,XGVD,0.0
2013,EUN5,-0.6
2013,IBCI,-4.1
2013,EEM,-6.3
2013,DJP,-13.1
2013,IAU,-31.2
2014,SPY,29.1
2014,IWM,19.2
2014,ACWI,18.9
2014,IAU,12.0
2014,EEM,11.3
2014,XGVD,8.4
2014,EUN5,8.3
2014,EFA,8.0
2014,IBCI,5.1
2014,EURIBOR3M,0.2
2014,DJP,-5.7
2015,SPY,12.9
2015,EFA,10.5
2015,ACWI,9.3
2015,IWM,6.5
2015,XGVD,1.0
2015,IBCI,0.7
2015,EURIBOR3M,-0.0
2015,IAU,-0.2
2015,EUN5,-0.7
2015,EEM,-5.0
2015,DJP,-16.1
2016,IWM,25.3
2016,SPY,15.6
2016,DJP,15.4
2016,EEM,15.3
2016,ACWI,12.0
2016,IAU,11.7
2016,EUN5,4.7
2016,EFA,4.3
2016,IBCI,3.6
2016,XGVD,2.3
2016,EURIBOR3M,-0.3
2017,EEM,20.7
2017,EFA,9.5
2017,ACWI,9.2
2017,SPY,6.7
2017,EUN5,2.1
2017,IBCI,1.2
2017,IWM,0.4
2017,XGVD,0.3
2017,EURIBOR3M,-0.3
2017,IAU,-0.5
2017,DJP,-10.9
2018,IAU,3.1
2018,SPY,0.1
2018,XGVD,-0.2
2018,EURIBOR3M,-0.3
2018,EUN5,-1.5
2018,IBCI,-1.7
2018,ACWI,-4.7
2018,IWM,-6.8
2018,DJP,-7.1
2018,EFA,-9.7
2018,EEM,-10.3
2019,SPY,34.5
2019,ACWI,30.1
2019,IWM,28.4
2019,EFA,24.8
2019,EEM,21.5
2019,IAU,21.0
2019,DJP,10.1
2019,IBCI,6.3
2019,EUN5,6.3
2019,XGVD,4.5
2019,EURIBOR3M,-0.4
2020,IAU,14.8
2020,IWM,10.1
2020,EEM,9.0
2020,SPY,8.7
2020,ACWI,7.2
2020,XGVD,4.8
2020,IBCI,2.9
2020,EUN5,2.6
2020,EURIBOR3M,-0.4
2020,EFA,-1.0
2020,DJP,-11.6
2021,DJP,44.0
2021,SPY,39.0
2021,ACWI,28.2
2021,IWM,24.0
2021,EFA,19.6
2021,IBCI,6.1
2021,EEM,4.1
2021,IAU,4.0
2021,EURIBOR3M,-0.5
2021,EUN5,-1.1
2021,XGVD,-3.2
2022,DJP,24.8
2022,IAU,5.6
2022,EURIBOR3M,0.4
2022,EFA,-9.1
2022,IBCI,-9.7
2022,SPY,-13.1
2022,ACWI,-13.3
2022,EUN5,-13.4
2022,XGVD,-15.1
2022,IWM,-15.5
2022,EEM,-15.6
2023,SPY,21.5
2023,ACWI,17.8
2023,EFA,14.0
2023,IWM,12.5
2023,IAU,8.7
2023,EUN5,7.5
2023,IBCI,5.9
2023,EEM,4.9
2023,XGVD,3.6
2023,EURIBOR3M,3.5
2023,DJP,-13.2
2024,IAU,34.9
2024,SPY,32.8
2024,ACWI,24.9
2024,IWM,18.5
2024,EEM,13.3
2024,DJP,12.3
2024,EFA,10.1
2024,EUN5,4.4
2024,EURIBOR3M,4.0
2024,IBCI,0.0
2024,XGVD,-0.4
2025,IAU,34.7
2025,EEM,20.2
2025,EFA,15.0
2025,ACWI,9.3
2025,SPY,5.7
2025,EUN5,3.4
2025,XGVD,2.4
2025,EURIBOR3M,1.9
2025,IBCI,1.6
2025,IWM,1.5
2025,DJP,0.1
TOTAL,SPY,758.2
TOTAL,ACWI,413.8
TOTAL,IWM,370.1
TOTAL,IAU,215.7
TOTAL,EFA,208.5
TOTAL,EEM,110.3
TOTAL,IBCI,30.1
TOTAL,EUN5,28.0
TOTAL,XGVD,17.7
TOTAL,EURIBOR3M,10.5
TOTAL,DJP,4.8
