year,code,ret
2016,EFA,4.8
2016,IWM,4.2
2016,ACWI,3.6
2016,INXG,3.4
2016,SPY,3.3
2016,DJP,3.2
2016,SLXX,3.0
2016,EEM,1.6
2016,XGSG,0.1
2016,UK3M,0.0
2016,IAU,-0.9
2017,EEM,25.8
2017,EFA,14.2
2017,ACWI,13.8
2017,SPY,11.3
2017,IWM,4.7
2017,SLXX,4.2
2017,IAU,3.7
2017,INXG,2.2
2017,XGSG,1.1
2017,UK3M,0.2
2017,DJP,-7.1
2018,IAU,4.3
2018,SPY,1.3
2018,XGSG,1.0
2018,UK3M,0.5
2018,INXG,-0.5
2018,SLXX,-2.8
2018,ACWI,-3.5
2018,IWM,-5.7
2018,DJP,-6.0
2018,EFA,-8.7
2018,EEM,-9.2
2019,SPY,26.5
2019,ACWI,22.4
2019,IWM,20.8
2019,EFA,17.4
2019,EEM,14.3
2019,IAU,13.8
2019,SLXX,11.3
2019,INXG,6.3
2019,XGSG,5.9
2019,DJP,3.6
2019,UK3M,0.7
2020,IAU,21.3
2020,IWM,16.3
2020,EEM,15.2
2020,SPY,14.8
2020,ACWI,13.3
2020,INXG,11.1
2020,SLXX,9.0
2020,XGSG,5.6
2020,EFA,4.6
2020,UK3M,0.2
2020,DJP,-6.6
2021,DJP,34.6
2021,SPY,30.0
2021,ACWI,19.9
2021,IWM,15.9
2021,EFA,11.8
2021,INXG,4.1
2021,UK3M,0.1
2021,XGSG,-2.5
2021,EEM,-2.7
2021,IAU,-2.8
2021,SLXX,-4.0
2022,DJP,31.4
2022,IAU,11.1
2022,UK3M,1.8
2022,EFA,-4.3
2022,SPY,-8.5
2022,ACWI,-8.7
2022,IWM,-11.1
2022,EEM,-11.2
2022,XGSG,-14.0
2022,SLXX,-18.4
2022,INXG,-34.3
2023,SPY,19.9
2023,ACWI,16.2
2023,EFA,12.5
2023,IWM,11.0
2023,SLXX,8.5
2023,IAU,7.2
2023,UK3M,5.0
2023,XGSG,5.0
2023,EEM,3.5
2023,INXG,0.2
2023,DJP,-14.3
2024,IAU,29.0
2024,SPY,27.0
2024,ACWI,19.5
2024,IWM,13.3
2024,EEM,8.3
2024,DJP,7.4
2024,EFA,5.3
2024,UK3M,5.2
2024,SLXX,1.6
2024,XGSG,1.2
2024,INXG,-8.7
2025,IAU,36.8
2025,EEM,20.0
2025,EFA,16.9
2025,ACWI,10.3
2025,SPY,6.7
2025,SLXX,3.7
2025,UK3M,3.3
2025,XGSG,2.8
2025,DJP,2.8
2025,IWM,2.7
2025,INXG,-2.2
TOTAL,SPY,227.1
TOTAL,IAU,202.9
TOTAL,ACWI,164.3
TOTAL,EFA,98.8
TOTAL,IWM,92.4
TOTAL,EEM,77.8
TOTAL,DJP,45.8
TOTAL,UK3M,18.3
TOTAL,SLXX,13.6
TOTAL,XGSG,4.6
TOTAL,INXG,-24.0
