year,code,ret
2016,EFA,3.4
2016,IWM,2.8
2016,ACWI,2.2
2016,SPY,2.0
2016,DJP,1.8
2016,LQD,0.8
2016,EEM,0.3
2016,SGLU,0.2
2016,BIL,0.0
2016,TIP,-0.0
2016,TLT,-0.5
2016,IAU,-2.2
2017,EEM,37.7
2017,EFA,25.0
2017,ACWI,24.6
2017,SPY,21.8
2017,IWM,14.6
2017,IAU,13.6
2017,TLT,8.5
2017,LQD,7.1
2017,TIP,2.9
2017,SGLU,2.1
2017,DJP,1.7
2017,BIL,0.9
2018,SGLU,2.6
2018,BIL,2.0
2018,TIP,-1.4
2018,IAU,-1.6
2018,TLT,-1.8
2018,LQD,-3.8
2018,SPY,-4.4
2018,ACWI,-9.0
2018,IWM,-11.0
2018,DJP,-11.2
2018,EFA,-13.8
2018,EEM,-14.3
2019,SPY,31.5
2019,ACWI,27.3
2019,IWM,25.5
2019,EFA,22.0
2019,EEM,18.8
2019,IAU,18.3
2019,LQD,17.4
2019,TLT,14.8
2019,TIP,8.3
2019,DJP,7.7
2019,SGLU,7.6
2019,BIL,2.1
2020,IAU,25.1
2020,IWM,20.0
2020,EEM,18.8
2020,SPY,18.4
2020,TLT,17.7
2020,ACWI,16.8
2020,LQD,11.0
2020,TIP,10.8
2020,EFA,7.8
2020,SGLU,6.1
2020,BIL,0.4
2020,DJP,-3.7
2021,DJP,33.2
2021,SPY,28.7
2021,ACWI,18.6
2021,IWM,14.7
2021,EFA,10.6
2021,TIP,5.7
2021,BIL,-0.0
2021,LQD,-1.8
2021,SGLU,-2.4
2021,EEM,-3.7
2021,IAU,-3.7
2021,TLT,-4.7
2022,DJP,17.5
2022,BIL,1.4
2022,IAU,-0.6
2022,TIP,-12.3
2022,SGLU,-13.0
2022,EFA,-14.4
2022,LQD,-17.9
2022,SPY,-18.2
2022,ACWI,-18.4
2022,IWM,-20.5
2022,EEM,-20.6
2022,TLT,-31.2
2023,SPY,26.2
2023,ACWI,22.3
2023,EFA,18.4
2023,IWM,16.8
2023,IAU,12.8
2023,LQD,9.4
2023,EEM,8.9
2023,SGLU,5.8
2023,BIL,4.9
2023,TIP,3.8
2023,TLT,2.8
2023,DJP,-9.8
2024,IAU,26.9
2024,SPY,24.9
2024,ACWI,17.4
2024,IWM,11.4
2024,EEM,6.5
2024,DJP,5.6
2024,BIL,5.2
2024,EFA,3.5
2024,TIP,1.7
2024,SGLU,1.1
2024,LQD,0.9
2024,TLT,-8.1
2025,IAU,50.7
2025,EEM,34.5
2025,EFA,28.7
2025,ACWI,22.3
2025,SPY,18.3
2025,IWM,13.6
2025,DJP,12.0
2025,LQD,9.3
2025,TLT,8.9
2025,TIP,7.8
2025,SGLU,4.3
2025,BIL,3.4
TOTAL,SPY,262.7
TOTAL,IAU,233.8
TOTAL,ACWI,193.0
TOTAL,EFA,119.0
TOTAL,IWM,112.8
TOTAL,EEM,99.3
TOTAL,DJP,59.0
TOTAL,LQD,31.5
TOTAL,TIP,28.5
TOTAL,BIL,22.1
TOTAL,SGLU,13.6
TOTAL,TLT,-3.5
