year,code,ret
2010,DJP,10.7
2010,EFA,8.1
2010,IWM,7.9
2010,ACWI,7.4
2010,EEM,7.3
2010,SPY,6.7
2010,IAU,2.5
2010,BIL,0.0
2010,SGLU,-0.4
2010,LQD,-0.8
2010,TIP,-1.4
2010,TLT,-3.7
2011,TLT,29.9
2011,TIP,13.3
2011,IAU,10.1
2011,LQD,9.7
2011,SGLU,5.5
2011,SPY,2.1
2011,BIL,0.1
2011,IWM,-4.2
2011,ACWI,-6.9
2011,EFA,-12.1
2011,DJP,-13.3
2011,EEM,-18.3
2012,EEM,18.5
2012,EFA,17.3
2012,ACWI,16.7
2012,IWM,16.3
2012,SPY,16.0
2012,LQD,10.6
2012,IAU,7.1
2012,TIP,6.4
2012,SGLU,4.5
2012,TLT,3.6
2012,BIL,0.1
2012,DJP,-1.1
2013,IWM,38.8
2013,SPY,32.4
2013,ACWI,23.4
2013,EFA,22.8
2013,SGLU,0.2
2013,BIL,0.1
2013,LQD,-2.0
2013,EEM,-2.4
2013,TIP,-8.5
2013,DJP,-9.5
2013,TLT,-12.7
2013,IAU,-28.3
2014,TLT,25.1
2014,SPY,13.7
2014,SGLU,8.4
2014,LQD,8.2
2014,IWM,4.9
2014,ACWI,4.7
2014,TIP,3.6
2014,BIL,0.0
2014,IAU,-1.4
2014,EEM,-2.1
2014,EFA,-4.9
2014,DJP,-17.0
2015,SPY,1.4
2015,SGLU,1.3
2015,BIL,0.1
2015,EFA,-0.8
2015,TLT,-1.2
2015,LQD,-1.3
2015,TIP,-1.8
2015,ACWI,-1.9
2015,IWM,-4.4
2015,IAU,-10.4
2015,EEM,-14.7
2015,DJP,-24.7
2016,IWM,21.3
2016,SPY,12.0
2016,DJP,11.8
2016,EEM,11.7
2016,ACWI,8.5
2016,IAU,8.1
2016,LQD,6.2
2016,TIP,4.7
2016,SGLU,3.8
2016,TLT,1.3
2016,EFA,1.0
2016,BIL,0.3
2017,EEM,37.7
2017,EFA,25.0
2017,ACWI,24.6
2017,SPY,21.8
2017,IWM,14.6
2017,IAU,13.6
2017,TLT,8.5
2017,LQD,7.1
2017,TIP,2.9
2017,SGLU,2.1
2017,DJP,1.7
2017,BIL,0.9
2018,SGLU,2.6
2018,BIL,2.0
2018,TIP,-1.4
2018,IAU,-1.6
2018,TLT,-1.8
2018,LQD,-3.8
2018,SPY,-4.4
2018,ACWI,-9.0
2018,IWM,-11.0
2018,DJP,-11.2
2018,EFA,-13.8
2018,EEM,-14.3
2019,SPY,31.5
2019,ACWI,27.3
2019,IWM,25.5
2019,EFA,22.0
2019,EEM,18.8
2019,IAU,18.3
2019,LQD,17.4
2019,TLT,14.8
2019,TIP,8.3
2019,DJP,7.7
2019,SGLU,7.6
2019,BIL,2.1
2020,IAU,25.1
2020,IWM,20.0
2020,EEM,18.8
2020,SPY,18.4
2020,TLT,17.7
2020,ACWI,16.8
2020,LQD,11.0
2020,TIP,10.8
2020,EFA,7.8
2020,SGLU,6.1
2020,BIL,0.4
2020,DJP,-3.7
2021,DJP,33.2
2021,SPY,28.7
2021,ACWI,18.6
2021,IWM,14.7
2021,EFA,10.6
2021,TIP,5.7
2021,BIL,-0.0
2021,LQD,-1.8
2021,SGLU,-2.4
2021,EEM,-3.7
2021,IAU,-3.7
2021,TLT,-4.7
2022,DJP,17.5
2022,BIL,1.4
2022,IAU,-0.6
2022,TIP,-12.3
2022,SGLU,-13.0
2022,EFA,-14.4
2022,LQD,-17.9
2022,SPY,-18.2
2022,ACWI,-18.4
2022,IWM,-20.5
2022,EEM,-20.6
2022,TLT,-31.2
2023,SPY,26.2
2023,ACWI,22.3
2023,EFA,18.4
2023,IWM,16.8
2023,IAU,12.8
2023,LQD,9.4
2023,EEM,8.9
2023,SGLU,5.8
2023,BIL,4.9
2023,TIP,3.8
2023,TLT,2.8
2023,DJP,-9.8
2024,IAU,26.9
2024,SPY,24.9
2024,ACWI,17.4
2024,IWM,11.4
2024,EEM,6.5
2024,DJP,5.6
2024,BIL,5.2
2024,EFA,3.5
2024,TIP,1.7
2024,SGLU,1.1
2024,LQD,0.9
2024,TLT,-8.1
2025,IAU,50.7
2025,EEM,34.5
2025,EFA,28.7
2025,ACWI,22.3
2025,SPY,18.3
2025,IWM,13.6
2025,DJP,12.0
2025,LQD,9.3
2025,TLT,8.9
2025,TIP,7.8
2025,SGLU,4.3
2025,BIL,3.4
TOTAL,SPY,668.0
TOTAL,ACWI,359.8
TOTAL,IWM,320.7
TOTAL,IAU,182.5
TOTAL,EFA,176.0
TOTAL,EEM,88.2
TOTAL,LQD,74.7
TOTAL,TIP,49.0
TOTAL,SGLU,42.0
TOTAL,TLT,37.4
TOTAL,BIL,22.8
TOTAL,DJP,-6.2
