name,code,country,sector,industry,weight
NVIDIA Corporation,NVDA,United States,Technology,Semiconductors,4.76171
Microsoft Corporation,MSFT,United States,Technology,Software - Infrastructure,4.18737
Apple Inc,AAPL,United States,Technology,Consumer Electronics,4.04699
Amazon.com Inc,AMZN,United States,Consumer Cyclical,Internet Retail,2.29666
Meta Platforms Inc.,META,United States,Communication Services,Internet Content & Information,1.74874
Broadcom Inc,AVGO,United States,Technology,Semiconductors,1.66193
Alphabet Inc Class A,GOOGL,United States,Communication Services,Internet Content & Information,1.54541
Tesla Inc,TSLA,United States,Consumer Cyclical,Auto Manufacturers,1.36421
Alphabet Inc Class C,GOOG,United States,Communication Services,Internet Content & Information,1.25259
Taiwan Semiconductor Manufacturing Co. Ltd.,2330,Taiwan,Technology,Semiconductors,1.13617
